4.7174 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002951D388E80>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002951DA3F390>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1280, 1024]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.1425 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=2)
5.1623 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0, pos=array([ 0. , -0.9]), rgb=array([255., 255., 255.]), text='Press the space bar to continue', units='norm', win=Window(...), wrapWidth=2)
5.1652 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.5, 0.5]), texRes=128, units='norm', win=Window(...))
5.1699 	EXP 	Created Arousalimage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sam arousal.png', interpolate=True, mask=None, maskParams=None, name='Arousalimage', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.15]), size=array([1.0109375 , 0.29882812]), texRes=128, units='norm', win=Window(...))
5.1747 	EXP 	Created unnamed GratingStim = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color='LightGray', colorSpace='named', contrast=1.0, depth=0, interpolate=False, mask='none', maskParams=None, name='unnamed GratingStim', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([ 0. , -0.3]), rgbPedestal=array([0., 0., 0.]), sf=array([0., 0.]), size=array([20. ,  0.2]), tex='sin', texRes=128, units='norm', win=Window(...))
5.1772 	EXP 	Created unnamed ElementArrayStim = ElementArrayStim(__class__=type(...), autoLog=True, colorSpace='named', colors='LightGray', contrs=array([1., 1., 1., 1., 1.]), depths=0, elementMask=method-wrapper(...), elementTex=method-wrapper(...), fieldDepth=0, fieldPos=array([0., 0.]), fieldShape='circle', fieldSize=array([1., 1.]), interpolate=True, maskParams=None, nElements=5, name='unnamed ElementArrayStim', opacities=array([1., 1., 1., 1., 1.]), oris=array([0., 0., 0., 0., 0.]), phases=ndarray(...), rgbs=ndarray(...), sfs=ndarray(...), sizes=ndarray(...), texRes=48, units='norm', win=Window(...), xys=ndarray(...))
5.1789 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.05  , 0.0625]), units='norm', vertices=ndarray(...), win=Window(...))
5.1796 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='DarkGrey', lineColorSpace='named', lineRGB=array([169., 169., 169.]), lineWidth=1.5, name='unnamed Rect', opacity=1.0, ori=array(0.), pos=array([ 0. , -0.3]), size=array([1., 1.]), units='norm', vertices=ndarray(...), win=Window(...))
5.1800 	EXP 	Created slider_arousal = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, color='LightGray', depth=0, flip=False, font='HelveticaBold', granularity=1, labelHeight=0.05, labels=None, name='slider_arousal', pos=(0, -0.3), readOnly=False, self=UNKNOWN, size=(20, 0.05), style=method-wrapper(...), ticks=array([  1,  25,  50,  75, 100]), units='norm', win=Window(...))
5.1962 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
5.2121 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([ 0.  , -0.45]), rgb=array([255., 255., 255.]), text='Press the space bar to continue', units='norm', win=Window(...), wrapWidth=1)
5.2254 	EXP 	Imported Cues.xlsx as conditions, 6 conditions, 4 params
5.2257 	EXP 	Created sequence: sequential, trialTypes=6, nReps=1, seed=None
5.2259 	EXP 	New trial (rep=0, index=0): OrderedDict([('folder', 'Pictures/'), ('pictures', '1040.jpg'), ('file', 'Pictures/1040.jpg'), ('type', 'NegH')])
5.2936 	EXP 	slider_valence: autoLog = True
5.2936 	EXP 	slider_valence: markerPos = None
5.2936 	EXP 	slider_valence: rating = None
5.2936 	EXP 	slider_valence: markerPos = None
5.2936 	EXP 	unnamed Circle: contrast = 1.0
5.2936 	EXP 	unnamed GratingStim: contrast = 1.0
5.2936 	EXP 	slider_valence: contrast = 1.0
5.2936 	EXP 	slider_valence: autoLog = True
5.2936 	EXP 	slider_valence: style = ('rating',)
5.2936 	EXP 	slider_arousal: autoLog = True
5.2936 	EXP 	slider_arousal: markerPos = None
5.2936 	EXP 	slider_arousal: rating = None
5.2936 	EXP 	slider_arousal: markerPos = None
5.2936 	EXP 	unnamed Circle: contrast = 1.0
5.2936 	EXP 	unnamed GratingStim: contrast = 1.0
5.2936 	EXP 	slider_arousal: contrast = 1.0
5.2936 	EXP 	slider_arousal: autoLog = True
5.2936 	EXP 	slider_arousal: style = ('rating',)
5.2936 	EXP 	image_1: image = 'Pictures/1040.jpg'
5.2936 	EXP 	slider_valence: markerPos = None
5.2936 	EXP 	slider_valence: markerPos = None
5.2936 	EXP 	slider_valence: rating = None
5.2936 	EXP 	image_1: autoDraw = True
5.2936 	EXP 	ValenceImg: autoDraw = True
5.2936 	EXP 	slider_valence: autoDraw = True
5.2936 	EXP 	text: autoDraw = True
5.2936 	EXP 	text_3: autoDraw = True
10.5235 	DATA 	Keypress: escape
10.5508 	EXP 	window1: mouseVisible = True
